"Recipient","From Lobbyists","From Lobbyists + Family"
"Maria Cantwell (D-Wash)","$538897","$578744"
"Kevin McCarthy (R-Calif)","$452461","$453961"
"Jon Tester (D-Mont)","$390251","$401936"
"Steve Scalise (R-La)","$310133","$310133"
"Bob Casey (D-Pa)","$305504","$314673"
"Tim Kaine (D-Va)","$282207","$301182"
"Jacky Rosen (D-Nev)","$265875","$279300"
"Hakeem Jeffries (D-NY)","$240453","$245507"
"Tim Scott (R-SC)","$232457","$246221"
"Martin Heinrich (D-NM)","$230838","$231738"
"Roger Wicker (R-Miss)","$228783","$237333"
"Lisa Blunt Rochester (D-Del)","$210802","$221702"
"Tom Emmer (R-Minn)","$210148","$215148"
"Sherrod Brown (D-Ohio)","$209058","$211083"
"Marsha Blackburn (R-Tenn)","$206508","$209008"
"Jason Smith (R-Mo)","$206003","$208003"
"Ken Calvert (R-Calif)","$191614","$204014"
"Kyrsten Sinema (I-Ariz)","$189684","$189684"
"John Barrasso (R-Wyo)","$186344","$198644"
"Angela Alsobrooks (D-Md)","$178291","$187716"
"Tammy Baldwin (D-Wis)","$174059","$177359"
"Mike Johnson (R-La)","$173101","$185601"
"Cathy McMorris Rodgers (R-Wash)","$171850","$175850"
"Katherine Clark (D-Mass)","$164891","$171791"
"Pete Aguilar (D-Calif)","$163856","$174756"
"Ted Cruz (R-Texas)","$161502","$165752"
"Christopher S Murphy (D-Conn)","$146575","$152635"
"Robert Menendez (D-NJ)","$144499","$152899"
"Garret Graves (R-La)","$137454","$137454"
"Jim Banks (R-Ind)","$126566","$128066"
"Mark Warner (D-Va)","$126331","$126336"
"Frank Pallone Jr. (D-NJ)","$125205","$125205"
"Elissa Slotkin (D-Mich)","$124713","$132413"
"Adam Schiff (D-Calif)","$113618","$130126"
"Richard E Neal (D-Mass)","$113350","$113350"
"Ron DeSantis (R)","$109954","$141362"
"Steven Horsford (D-Nev)","$104710","$105960"
"Darin LaHood (R-Ill)","$104359","$105359"
"Sheldon Whitehouse (D-RI)","$101700","$104700"
"Deb Fischer (R-Neb)","$98989","$108839"
"Katie Britt (R-Ala)","$96510","$103110"
"Nikki Haley (R)","$96403","$121551"
"Rob Wittman (R-Va)","$96337","$98425"
"John Curtis (R-Utah)","$89700","$89700"
"Chris Coons (D-Del)","$87600","$87600"
"Brett Guthrie (R-Ky)","$86850","$87600"
"Tom Cole (R-Okla)","$85175","$88950"
"Guy Reschenthaler (R-Pa)","$82250","$85250"
"Gary Peters (D-Mich)","$81700","$81950"
"Mike D Rogers (R-Ala)","$80746","$81746"
"Patrick McHenry (R-NC)","$79900","$79900"
"Mike Gallagher (R-Wis)","$79550","$79550"
"Michael J Rogers (R-Mich)","$78462","$78462"
"Rob Menendez (D-NJ)","$77450","$77700"
"Angus King (I-Maine)","$75450","$75450"
"Dave McCormick (R-Pa)","$75150","$85050"
"Bill Cassidy (R-La)","$75150","$76150"
"Bill Hagerty (R-Tenn)","$74788","$78888"
"Tim Sheehy (R-Mont)","$73331","$73331"
"Richard Hudson (R-NC)","$71750","$73250"
"Kevin Hern (R-Okla)","$70536","$70536"
"Mario Diaz-Balart (R-Fla)","$70400","$70400"
"Ruben Gallego (D-Ariz)","$70265","$71865"
"Kay Granger (R-Texas)","$69350","$70850"
"Mike Carey (R-Ohio)","$67850","$67850"
"Rosa DeLauro (D-Conn)","$67165","$67165"
"Jerry Moran (R-Kan)","$65950","$65950"
"Mike Simpson (R-Idaho)","$65923","$65923"
"David Rouzer (R-NC)","$65237","$65237"
"Gabe Amo (D-RI)","$64976","$66976"
"French Hill (R-Ark)","$64600","$65600"
"Mike Pence (R)","$64114","$71239"
"Sam Graves (R-Mo)","$64000","$65500"
"Henry Cuellar (D-Texas)","$63646","$70246"
"Julia Letlow (R-La)","$63600","$63600"
"Joe Manchin (D-WVa)","$61710","$66410"
"David Schweikert (R-Ariz)","$60953","$61453"
"David P Joyce (R-Ohio)","$60400","$61400"
"Nikki Budzinski (D-Ill)","$59335","$59835"
"Thom Tillis (R-NC)","$59150","$59150"
"Roger Marshall (R-Kan)","$59050","$59550"
"Ben Ray Lujan (D-NM)","$57505","$57505"
"Zoe Lofgren (D-Calif)","$57350","$59500"
"Claudia Tenney (R-NY)","$57131","$58131"
"Eric Sorensen (D-Ill)","$56200","$56700"
"John Carter (R-Texas)","$56200","$56200"
"Juan Ciscomani (R-Ariz)","$55663","$56163"
"Maggie Hassan (D-NH)","$55618","$55893"
"James Comer (R-Ky)","$55500","$55500"
"Colin Allred (D-Texas)","$55468","$61466"
"Mitch McConnell (R-Ky)","$54800","$59000"
"Susan Collins (R-Maine)","$54450","$54450"
"Ted Budd (R-NC)","$54150","$54150"
"Raja Krishnamoorthi (D-Ill)","$53990","$59490"
"Jim Jordan (R-Ohio)","$53600","$53600"
"David Valadao (R-Calif)","$53267","$55767"
"Andy Barr (R-Ky)","$53050","$53550"
"Rick Larsen (D-Wash)","$53050","$53050"
"Markwayne Mullin (R-Okla)","$52900","$56300"
"Terri Sewell (D-Ala)","$52820","$52820"